Case number,Annual weight,Total expenditure,Gross normal weekly household income - anonymised,Main source of household income - code,Internet connection in household,Economic position of household reference person,NS - SEC 8 Class of household reference person,Tenure type,Sex of household reference person,Number of persons in household,Number of adults,Number of children,Government Office Region modified,Annual weight r,Main income,Income,Expenditure,Household size
14875,5.730572318354775,305.9577537370802,781.14,Earned income,No,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,West Midlands,1.0982105207555959,earnings,781.14,305.95776,2
14873,3.7447725322847627,1105.501693642048,750.6295,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,South East,0.7176505878164011,earnings,750.6295,1105.5017,2
14868,4.902164374831832,513.6083015816027,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,0.9394538960218916,earnings,1184.99,513.6083,2
14865,6.81974267432981,302.1937523518472,372.62,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,3 adults,No children,North West and Merseyside,1.3069398199210078,earnings,372.62,302.19376,3
14859,3.0771250050599823,1175.0,1078.07,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,West Midlands,0.5897021914221618,earnings,1078.07,1175.0,5
14856,4.6757369897911625,263.374439640033,160.132,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,East Midlands,0.8960612080625444,other source,160.132,263.37445,1
14855,3.673630558333345,967.6438852835103,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.7040168947190252,other source,1184.99,967.64386,2
14854,5.453159043749207,972.9387367517721,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,3 adults,One child,South East,1.0450468645195008,earnings,1184.99,972.9387,4
14853,5.02733852235771,263.1241821521583,250.3,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,2 person,1 adult,One child,London,0.9634423491994616,other source,250.3,263.12418,2
14847,6.628714541091452,511.06166357936286,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,1.2703310670725843,earnings,1184.99,511.06168,2
14847,4.010498333437675,828.8697741767332,1184.99,Other income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.7685744492128697,other source,1184.99,828.86975,2
14844,4.57175971107853,419.935433879211,621.19,Other income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,0.8761349362945383,other source,621.19,419.93542,2
14838,3.6590761901648077,520.6301297975498,972.67,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.7012276863541917,earnings,972.67,520.6301,2
14838,3.5112194311638976,578.4724763612469,601.95,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.6728923230991928,other source,601.95,578.4725,2
14838,7.499314216844202,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,London,1.4371733421828257,earnings,1184.99,1175.0,2
14834,10.483568190022305,1116.5081307632483,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,2.0090776700374287,earnings,1184.99,1116.5082,2
14833,5.058677547523475,99.17,148.042,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,North East,0.9694481798975633,other source,148.042,99.17,1
14832,5.516299392016262,420.31587977790946,665.77,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,South East,1.0571471209858496,earnings,665.77,420.3159,5
14831,6.040720946286222,186.29,253.884,Other income,No,Economically inactive,Not classified for other reasons,Private rented,Male,2 person,2 adults,No children,South East,1.1576476009057364,other source,253.884,186.29,2
14824,4.622743445497653,437.7217767179658,617.919,Other income,Yes,Unemployed and work related Government Training Programmes,Routine and manual occupations,Owned,Male,5 person or more,4 and more adults,Two or more children,West Midlands,0.8859054915577802,other source,617.919,437.72177,5
14818,4.57175971107853,436.78291846129054,629.135,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Eastern,0.8761349362945383,earnings,629.135,436.78293,2
14814,4.189109841647542,134.45922271656633,319.704,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Wales,0.8028036721503119,other source,319.704,134.45923,2
14810,3.511605626789495,124.64,161.96,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,South West,0.6729663338743019,other source,161.96,124.64,1
14808,5.264053072262035,254.8244104674735,684.41,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Male,5 person or more,4 and more adults,One child,West Midlands,1.0088064759705708,earnings,684.41,254.82442,5
14808,5.165169754723825,379.9748443070491,1184.99,Earned income,No,Full-time working,Routine and manual occupations,Private rented,Male,3 person,3 adults,No children,Yorkshire and the Humber,0.9898564141591433,earnings,1184.99,379.97485,3
14806,5.875955000188108,272.9792002723317,192.6045,Other income,Yes,Economically inactive,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,South East,1.1260717502899729,other source,192.6045,272.9792,1
14803,6.070836472231358,433.6201517994821,473.814,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,Scotland,1.163418959435687,other source,473.814,433.62015,2
14800,3.9033966782501226,919.2189902956156,1043.4,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,4 person,2 adults,Two or more children,North West and Merseyside,0.7480494199517301,earnings,1043.4,919.219,4
14788,5.244800578874785,660.1994635705158,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Yorkshire and the Humber,1.005116915903257,earnings,1184.99,660.19946,4
14785,5.373781000680058,321.1284678098826,540.61,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,London,1.0298348059025426,earnings,540.61,321.12848,4
14783,5.034731307365215,847.8041828113277,1184.99,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,London,0.9648591072162693,earnings,1184.99,847.8042,3
14782,5.79355914535924,407.5245210141216,808.0238461538461,Earned income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,South West,1.1102813563096223,earnings,808.02386,407.52454,4
14780,3.6611208403843527,250.7231835661001,378.41,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.7016195244216004,other source,378.41,250.72319,2
14778,2.9349945794787127,348.7156391966689,420.1,Other income,Yes,Part-time working,Routine and manual occupations,Private rented,Female,5 person or more,2 adults,Two or more children,North East,0.5624642263426751,other source,420.1,348.71564,5
14775,5.984002780518978,578.2014819042973,519.23,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,Yorkshire and the Humber,1.146778095574822,earnings,519.23,578.2015,1
14770,3.9421746752159876,1100.1962632477364,564.61,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,0.7554808599329235,earnings,564.61,1100.1963,2
14767,4.887895893151552,218.22821204922215,399.26,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,Yorkshire and the Humber,0.936719475125343,earnings,399.26,218.22821,3
14767,6.234370984095295,719.8343416481031,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,3 adults,No children,South East,1.1947588172122603,earnings,1184.99,719.83435,3
14763,4.708537878684697,574.6039758360257,570.9725,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,2 person,1 adult,One child,London,0.9023471912544216,earnings,570.9725,574.604,2
14762,6.399211444152282,93.1,260.492,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Yorkshire and the Humber,1.226348947730454,other source,260.492,93.1,1
14761,4.820544207190635,234.58,402.7015,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.9238121552271201,other source,402.7015,234.58,2
14760,3.764509695904735,706.1186841581259,50.0,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,West Midlands,0.7214330303951123,earnings,50.0,706.1187,2
14754,5.050964859938082,314.8423992253479,196.08,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,1 person,1 adult,No children,East Midlands,0.9679701155474373,earnings,196.08,314.8424,1
14753,9.170374521014885,1175.0,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,1.7574164008000777,earnings,1184.99,1175.0,2
14746,5.160293330790912,367.5502750051225,829.46,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,3 person,2 adults,One child,North West and Merseyside,0.9889218931777682,earnings,829.46,367.55026,3
14741,3.9182771774225724,428.0031752593577,370.98,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,Yorkshire and the Humber,0.7509011282694031,other source,370.98,428.00317,2
14740,4.163721403290028,542.8974101377464,729.39,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,1 adult,Two or more children,South West,0.7979382156896242,earnings,729.39,542.8974,3
14737,6.830153556038858,259.0336507711529,373.2774358974359,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,1 person,1 adult,No children,West Midlands,1.3089349679076403,earnings,373.27744,259.03366,1
14726,5.673921772901138,455.61884382089016,529.76,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,East Midlands,1.0873539742245526,earnings,529.76,455.61884,2
14724,4.8881832604628,285.1070910987402,377.89,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,1 adult,Two or more children,London,0.9367745463794869,other source,377.89,285.1071,3
14724,5.76678978677869,522.493592668174,890.76,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,Wales,1.1051512594198445,earnings,890.76,522.4936,3
14716,4.064015179332203,234.41520724175277,369.41,Earned income,No,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,North West and Merseyside,0.7788304515690008,earnings,369.41,234.4152,1
14712,3.87702821604434,155.9470193455703,415.09,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,East Midlands,0.7429961510979743,other source,415.09,155.94702,1
14710,4.19536866933555,426.2568292651984,534.61,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,North West and Merseyside,0.8040031178658037,earnings,534.61,426.25684,2
14704,4.670353176916453,577.483946054504,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Scotland,0.8950294507419276,earnings,1184.99,577.48395,2
14704,4.036811382087717,1137.774718797856,649.1475,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,3 person,2 adults,One child,North West and Merseyside,0.7736170985775891,earnings,649.1475,1137.7747,3
14703,3.761794653678245,581.5939298891165,582.144,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South West,0.7209127179774717,other source,582.144,581.59393,2
14700,4.75928705907989,64.41,101.35,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Wales,0.9120727964354631,other source,101.35,64.41,1
14694,3.4323512978411324,646.052648385988,930.3,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,East Midlands,0.6577779839100693,earnings,930.3,646.0527,5
14693,6.365095998541787,688.4852589742036,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,3 person,3 adults,No children,Eastern,1.2198110420539636,earnings,1184.99,688.4852,3
14689,5.700141042468167,149.7901992712025,222.812,Other income,No,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,Eastern,1.0923786517062086,other source,222.812,149.79019,1
14689,6.337122217216075,1175.0,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,2 person,2 adults,No children,London,1.214450128823916,other source,1184.99,1175.0,2
14686,4.193904743603578,554.0817158434224,1126.8375,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,North West and Merseyside,0.8037225702082325,earnings,1126.8375,554.0817,4
14680,3.7015364710638523,704.4203331354506,1015.92,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,5 person or more,2 adults,Two or more children,West Midlands,0.7093648015683587,earnings,1015.92,704.42035,5
14678,4.657742487710682,493.4750190406768,743.34,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Eastern,0.8926127302486887,earnings,743.34,493.475,3
14673,5.492804902726562,756.0252553636265,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.0526446221280854,earnings,1184.99,756.02527,1
14663,3.97342423838299,705.847790947391,1006.3052564102564,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,2 adults,Two or more children,Wales,0.761469546076731,earnings,1006.30524,705.8478,4
14659,3.893715123384465,157.36332247698874,330.98,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,1 person,1 adult,No children,South East,0.7461940406248376,other source,330.98,157.36333,1
14659,9.17162963442843,581.8510307836224,587.68,Earned income,Yes,Part-time working,Routine and manual occupations,Owned,Female,2 person,2 adults,No children,Eastern,1.7576569315322492,earnings,587.68,581.851,2
14654,3.7468167535348975,499.9616076253329,499.45,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,3 person,1 adult,Two or more children,South East,0.7180423436758394,earnings,499.45,499.9616,3
14650,9.494227440257767,491.625,406.17,Other income,Yes,Part-time working,"Never worked and long term unemployed, students and occupation not stated",Private rented,Male,4 person,4 and more adults,No children,Scotland,1.8194797800459492,other source,406.17,491.625,4
14645,5.754413098906525,111.3397511169549,259.09,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,Scotland,1.102779383090881,other source,259.09,111.33975,2
14644,6.83234276894009,361.7686819377439,902.4475,Earned income,Yes,Part-time working,"Higher managerial, administrative and professional occupations",Owned,Female,3 person,2 adults,One child,Yorkshire and the Humber,1.3093545100592343,earnings,902.4475,361.76868,3
14641,4.898176625826545,340.89270635460434,1103.435,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Eastern,0.9386896812683821,earnings,1103.435,340.8927,1
14638,5.31145372362896,310.9295933334343,767.81,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,Eastern,1.0178903669207107,earnings,767.81,310.9296,4
14637,4.095587579435993,166.04,174.69,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,1 person,1 adult,No children,East Midlands,0.7848810063885309,other source,174.69,166.04,1
14632,5.353692330218298,890.9763408420354,608.6225,Other income,Yes,Part-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,South West,1.0259850003292956,other source,608.6225,890.9763,2
14631,5.731787730294025,275.2429726056242,610.79,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,4 person,2 adults,Two or more children,Scotland,1.0984434430720043,earnings,610.79,275.24298,4
14630,10.618037108917623,79.32,165.962,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,West Midlands,2.0348473791068824,other source,165.962,79.32,1
14629,5.620840527768477,663.8924923797912,964.55,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,East Midlands,1.0771814506752415,earnings,964.55,663.8925,3
14628,5.571475791222935,310.225589479045,648.245,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,Scotland,1.0677211611933337,earnings,648.245,310.2256,3
14627,4.903596440037955,460.5283536339112,0.0,Other income,Yes,Unemployed and work related Government Training Programmes,Routine and manual occupations,Public rented,Female,2 person,2 adults,No children,Scotland,0.9397283379080422,other source,0.0,460.52835,2
14626,10.36866257168806,1036.8402032933716,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,4 person,4 and more adults,No children,South West,1.9870570843195914,earnings,1184.99,1036.8402,4
14625,5.609508306471892,277.25102096632503,322.37,Earned income,Yes,Full-time working,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,West Midlands,1.07500973658456,earnings,322.37,277.251,3
14621,3.8361077344911827,477.3392384710522,344.644,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,South East,0.7351541240089655,other source,344.644,477.33923,2
14617,6.77055113891388,1175.0,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Female,1 person,1 adult,No children,South West,1.2975127228136447,other source,1184.99,1175.0,1
14612,4.217943948702177,324.7341629261624,433.24,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,East Midlands,0.8083294587497705,earnings,433.24,324.73416,1
14611,9.141794095393497,1175.0,950.02,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Male,2 person,2 adults,No children,London,1.751939229871696,earnings,950.02,1175.0,2
14610,4.234630856042305,331.6010304388934,753.34,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Private rented,Female,1 person,1 adult,No children,South East,0.8115273482766342,earnings,753.34,331.60104,1
14609,4.431788663560585,1175.0,1184.99,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,London,0.8493107957993494,other source,1184.99,1175.0,2
14608,5.487066517792322,791.4529544619768,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,West Midlands,1.0515449143926567,earnings,1184.99,791.45294,2
14605,4.320148765048305,205.3887437060203,216.5,Earned income,Yes,Full-time working,Intermediate occupations,Private rented,Female,1 person,1 adult,No children,West Midlands,0.8279160547034946,earnings,216.5,205.38875,1
14604,4.510827909972695,157.63105183830547,150.042,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Yorkshire and the Humber,0.864457927209654,other source,150.042,157.63106,1
14599,4.9896381315876175,332.09,409.794,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,North West and Merseyside,0.9562174223544236,other source,409.794,332.09,3
14598,7.143149691499283,366.7969527499201,803.88,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,2 person,2 adults,No children,Wales,1.3689177462101692,earnings,803.88,366.79697,2
14593,7.255338153638503,662.2509297954343,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,London,1.390417614388092,earnings,1184.99,662.2509,1
14593,9.923931536105815,428.8450126747894,1184.99,Earned income,Yes,Economically inactive,"Never worked and long term unemployed, students and occupation not stated",Public rented,Male,2 person,2 adults,No children,London,1.9018285460427773,earnings,1184.99,428.845,2
14592,5.106067017355607,234.76047931965311,331.81,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Scotland,0.9785299280112699,earnings,331.81,234.76048,1
14592,3.7806271540257,137.77788239513424,140.042,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,0.7245217903117419,other source,140.042,137.77788,1
14591,8.6926574954995,613.6845219588522,484.12,Earned income,Yes,Part-time working,Intermediate occupations,Owned,Female,4 person,3 adults,One child,London,1.665866406450528,earnings,484.12,613.6845,4
14584,6.121132991624252,589.4737203271721,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,4 person,3 adults,One child,London,1.1730578163745908,earnings,1184.99,589.4737,4
14581,4.64492782980242,630.8561316241023,829.35,Other income,Yes,Part-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.890156921063686,other source,829.35,630.85614,2
14575,6.397404761616217,368.925,577.04,Earned income,No,Full-time working,Intermediate occupations,Private rented,Male,2 person,2 adults,No children,Northern Ireland,1.2260027139411314,earnings,577.04,368.925,2
14572,4.048506109641727,280.462348751754,341.674,Other income,No,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.7758582835978091,other source,341.674,280.46234,2
